Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,throughput,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
6,0.29477380720794266,0.014738690360397133,0.292276889457243,0.01461384447286215,0.292276889457243,0.01461384447286215,0.0,0.002496917750699667,0.292276889457243,0.01461384447286215,0.014553330561500289,0.012056412810800622,0.0012056412810800621,0.01401102383232212,,0.0007389722305456009,30,10,20,0.5,0
47,0.3557010791057328,0.01778505395528664,0.3475358552124821,0.017376792760624104,0.3475358552124821,0.017376792760624104,0.0,0.008165223893250709,0.3475358552124821,0.017376792760624104,0.0220514899575157,0.01388626606426499,0.001388626606426499,0.016682479457410852,,0.0016021698998280182,30,10,20,0.5,0
50,0.3620149187718917,0.018100745938594585,0.3532980442825584,0.01766490221412792,0.3532980442825584,0.01766490221412792,0.0,0.008716874489333282,0.3532980442825584,0.01766490221412792,0.02264318777959856,0.01392631329026528,0.0013926313290265279,0.016968586549614657,,0.004251823102243479,30,10,20,0.5,0
62,0.3776175518952852,0.01888087759476426,0.36392336340121617,0.018196168170060808,0.36392336340121617,0.018196168170060808,0.0,0.013694188494069004,0.36392336340121617,0.018196168170060808,0.027682243157075265,0.01398805466300626,0.001398805466300626,0.017496765436910495,,0.0013059769438238944,30,10,20,0.5,0
63,0.3687960007989004,0.01843980003994502,0.36392336340121617,0.018196168170060808,0.36392336340121617,0.018196168170060808,0.0,0.00487263739768426,0.36392336340121617,0.018196168170060808,0.01886069206069052,0.01398805466300626,0.001398805466300626,0.017496765436910495,,0.008821551096384744,30,10,20,0.5,0
13,0.6627041229918375,0.016567603074795937,0.6600258649404569,0.016500646623511424,0.6600258649404569,0.016500646623511424,0.0,0.002678258051380618,0.6600258649404569,0.016500646623511424,0.016073838007656438,0.01339557995627582,0.001339557995627582,0.016165757124604527,,0.0003390622833187723,50,10,40,0.25,0
112,0.36606182203850685,0.018303091101925344,0.363364005079382,0.018168200253969098,0.363364005079382,0.018168200253969098,0.0,0.0026978169591245216,0.363364005079382,0.018168200253969098,0.0238470030531846,0.02114918609406008,0.0021149186094060078,0.017110740949266113,,0.0029249900654331196,30,10,20,0.5,0
22,0.6880291104273449,0.017200727760683623,0.679353574481736,0.0169838393620434,0.679353574481736,0.0169838393620434,0.0,0.00867553594560895,0.679353574481736,0.0169838393620434,0.022254513362147954,0.013578977416539004,0.0013578977416539005,0.016644364926629927,,0.0008833195879733441,50,10,40,0.25,0
23,0.686943465160784,0.017173586629019598,0.679353574481736,0.0169838393620434,0.679353574481736,0.0169838393620434,0.0,0.0075898906790479725,0.679353574481736,0.0169838393620434,0.021168868095586976,0.013578977416539004,0.0013578977416539005,0.016644364926629927,,0.0010856452665609778,50,10,40,0.25,0
28,0.687812077308263,0.017195301932706575,0.6856218912941027,0.017140547282352567,0.6856218912941027,0.017140547282352567,0.0,0.0021901860141601837,0.6856218912941027,0.017140547282352567,0.015428715629342685,0.013238529615182501,0.0013238529615182501,0.016809584041973007,,0.004353681522374614,50,10,40,0.25,0
