Time (sec),throughput
0.0,0
0.01176330199254167,2
0.02291463434451968,6
0.034068840650772494,12
0.04542390742789922,20
0.05679120062968676,30
0.06815918043525934,42
0.07955940501972007,56
0.09107924924870528,72
0.10260830898109671,90
0.11414157954707947,110
0.12570135206989003,132
0.13664134362186803,154
0.14758133517384603,176
0.15852132672582403,198
0.16946131827780203,220
0.18040130982978003,242
0.19134130138175803,264
0.20228129293373603,286
0.21322128448571404,308
0.22416127603769204,330
0.23571407784422718,354
0.24726684480251762,380
0.25881976080776176,408
0.2703795333305723,430
0.28203343520438956,460
0.29378854557977835,492
0.3055436789494749,526
0.31729882621842104,562
0.32905413881841855,600
0.34144950422358117,640
0.3538713396897801,682
0.365278854738368,725
0.37668636978695597,768
0.3880938848355439,811
0.39950139988413186,854
0.4109089149327198,897
0.42231642998130775,940
0.4337239450298957,983
0.44513146007848364,1026
0.4565389751270716,1069
0.4690409218045389,1112
0.48157019871007345,1156
0.49410371892418864,1201
0.5073711867942265,1247
0.5209056897074333,1294
0.5344038545226159,1342
0.5478963441067644,1391
0.56142815466168,1441
0.5749719033224441,1492
0.5885286076402427,1544
0.6020905332865768,1597
0.613702205355523,1651
0.6253149608292995,1706
0.6369344483626304,1762
0.6492134004417137,1819
0.661497909313543,1877
0.6737840672283607,1936
0.6860694205612263,1996
0.698358806172027,2057
0.7106538857442282,2119
0.7246355301901498,2182
0.7371374768676171,2225
0.7511255315306233,2289
0.7651543481313167,2354
0.7791580609625143,2420
0.793200849693446,2487
0.8072756807113848,2555
0.8213582515028951,2624
0.835442356159915,2694
0.8470021286827256,2716
0.8610905674325979,2787
0.8720305589845759,2809
0.8829705505365539,2831
0.8939105420885319,2853
0.9048505336405099,2875
0.9157905251924879,2897
0.9267305167444659,2919
0.9376705082964439,2941
0.9486104998484219,2963
0.9595504914003999,2985
0.9736569410496162,3057
0.9877521478801036,3130
1.0018640784294848,3204
1.0159825258306052,3279
1.0301018900082344,3355
1.0442223145062701,3432
1.0593564972854514,3510
1.0735329652423835,3589
1.0877094331993156,3668
1.1018859011562476,3747
1.1160623691131797,3826
1.1297742402930038,3905
1.1443589707435562,3985
1.1580708419233803,4064
1.1718561642359686,4145
1.185709332498975,4227
1.199421203678799,4306
1.213133074858623,4385
1.2270030690593166,4468
1.2407149402391406,4547
1.254989170329406,4631
1.2692798504518228,4716
1.2834563184087548,4795
1.2977514338323535,4881
1.3121555863861107,4968
1.3265664504065349,5056
1.3409790978936256,5145
1.3551555658505576,5224
1.369574220804315,5314
1.384018595224739,5405
1.3965205419022062,5448
1.4104954740515876,5540
1.4242073452314117,5619
1.4381862128991987,5712
1.4518980840790228,5791
1.4656099552588469,5870
1.479612173836476,5964
1.493622117267845,6059
1.5086469923136931,6155
1.5227152320039585,6252
1.5368916999608906,6331
1.5510681679178226,6410
1.5652446358747547,6489
1.579951581744707,6587
1.5946817331093026,6686
1.6094213915125883,6786
1.6235978594695204,6865
1.6383428715046484,6966
1.6508448181821156,7009
1.6633467648595828,7052
1.67584871153705,7095
1.6899938749606485,7197
1.7037057461404725,7276
1.7174176173202966,7355
1.7311294885001207,7434
1.7448413596799448,7513
1.758553230859769,7592
1.7726997317821855,7695
1.7868499640057842,7799
1.8011071213595415,7904
1.8164397895007431,8010
1.8317929894136726,8117
1.8459694573706047,8196
1.8601459253275368,8275
1.8755071243103318,8383
1.8908693558264602,8492
1.9074521275841652,8602
1.9216285955410972,8681
1.9418311909410635,8792
1.962044111674363,8904
1.9822772606743293,9017
1.9974925884109482,9131
2.0112044595907723,9210
2.0264086641273913,9325
2.0416292483973435,9441
2.0568602722952725,9558
2.0705721434750965,9637
2.0842840146549206,9716
2.0995394703915395,9834
2.1132513415713636,9913
2.133464409114594,10032
2.1476408770715256,10111
2.1618173450284575,10190
2.1759938129853893,10269
2.190170280942321,10348
2.2104077538188847,10468
2.2245842217758165,10547
2.2387606897327483,10626
2.259005061809312,10747
2.279253188552542,10869
2.2995113379385574,10992
2.3132232091183815,11071
2.3269350802982056,11150
2.3406469514780297,11229
2.354358822657854,11308
2.368070693837678,11387
2.383922022245546,11511
2.399802330425142,11636
2.413514201604966,11715
2.4294033067210945,11841
2.4435797746780263,11920
2.457756242634958,11999
2.47193271059189,12078
2.4924418234874626,12205
2.512950936383035,12332
2.5334600492786077,12459
2.5539691621741802,12586
2.574478275069753,12713
2.5949873879653254,12840
2.615496500860898,12967
2.6360056137564705,13094
2.651907719405932,13221
2.667809825055394,13348
2.6837119307048556,13475
2.6996140363543173,13602
2.715516142003779,13729
2.7314182476532407,13856
2.7473203533027024,13983
2.763222458952164,14110
2.779124564601626,14237
2.7996336774971984,14364
2.820142790392771,14491
2.8406519032883435,14618
2.861161016183916,14745
2.8816701290794886,14872
2.902179241975061,14999
2.9226883548706337,15126
2.9431974677662063,15253
2.963706580661779,15380
2.9842156935573514,15507
3.004724806452924,15634
3.0206269121023857,15761
3.0365290177518474,15888
3.052431123401309,16015
3.0683332290507708,16142
3.0842353347002325,16269
3.100137440349694,16396
3.116039545999156,16523
3.1319416516486176,16650
3.1478437572980793,16777
3.168352870193652,16904
3.1888619830892244,17031
3.209371095984797,17158
3.2298802088803695,17285
3.250389321775942,17412
3.2708984346715146,17539
3.291407547567087,17666
3.3119166604626598,17793
3.3324257733582323,17920
3.352934886253805,18047
3.3734439991493774,18174
3.389346104798839,18301
3.405248210448301,18428
3.4211503160977625,18555
3.4370524217472243,18682
3.452954527396686,18809
3.4688566330461477,18936
3.4847587386956094,19063
3.500660844345071,19190
3.516562949994533,19317
3.5370720628901053,19444
3.557581175785678,19571
3.5780902886812505,19698
3.598599401576823,19825
3.6191085144723956,19952
3.639617627367968,20079
3.6601267402635407,20206
3.6806358531591132,20333
3.701144966054686,20460
