Time (sec),throughput
0.0,0
0.010676577125217012,1
0.022732989936017634,8
0.036128569892293454,22
0.04764841412127867,38
0.059169274659856136,57
0.07274825207639514,83
0.08598678169157764,113
0.10049604334213001,148
0.11413936910822343,187
0.12787503919848872,232
0.1417613052627537,281
0.155687618553019,335
0.16963069351754992,392
0.1837186092713073,454
0.19770666393431355,518
0.21174073615791217,586
0.2259408225783362,658
0.24501626704496915,736
0.2642297852738749,821
0.2836656638631114,915
0.30295346658246003,1014
0.32245097841136583,1117
0.34070407239124956,1223
0.3555103889278685,1330
0.3766595750219286,1442
0.3963958453308432,1560
0.4176863946249033,1682
0.43909651618563006,1808
0.4589438104145358,1936
0.4754108944109708,2064
0.4950593495453121,2192
0.5147078046796534,2320
0.5311748886760884,2448
0.5476419726725235,2576
0.5674892669014292,2704
0.5839563508978642,2832
0.6004234348942993,2960
0.6168905188907343,3088
0.6333576028871694,3216
0.6498246868836044,3344
0.6662917708800394,3472
0.6827588548764745,3600
0.7024073100108158,3728
0.7188743940072508,3856
0.7385228491415922,3984
0.7583701433704979,4112
0.7782174375994036,4240
0.7946845215958387,4368
0.8111516055922737,4496
0.830800060726615,4624
0.8504485158609564,4752
0.8700969709952977,4880
0.8865640549917327,5008
0.9030311389881678,5136
0.9194982229846028,5264
0.9391466781189441,5392
0.9587951332532855,5520
0.9784435883876268,5648
0.9980920435219681,5776
1.0177404986563094,5904
1.0373889537906507,6032
1.0538560377870856,6160
1.0703231217835205,6288
1.0867902057799554,6416
1.1064386609142967,6544
1.1262859551432025,6672
1.1427530391396374,6800
1.1624014942739787,6928
1.1820499494083199,7056
1.1985170334047548,7184
1.2149841174011897,7312
1.2314512013976247,7440
1.2479182853940596,7568
1.2643853693904945,7696
1.2808524533869294,7824
1.2973195373833644,7952
1.3145060595410691,8080
1.331692581698774,8208
1.3520218220420042,8336
1.3692083441997092,8464
1.386394866357414,8592
1.4069466161619513,8720
1.4274648810575237,8848
1.4446514032152287,8976
1.464980643558459,9104
1.4854989084540313,9232
1.5060506582585687,9360
1.526568923154141,9488
1.5468981634973713,9616
1.5674164283929437,9744
1.5846029505506487,9872
1.604932190893879,10000
1.6252614312371092,10128
1.6455906715803394,10256
1.6627771937380444,10384
1.6831064340812747,10512
1.703435674424505,10640
1.7239874242290423,10768
1.7445352004182788,10896
1.7650534653138512,11024
1.7856052151183885,11152
1.8059344554616188,11280
1.8264862052661561,11408
1.843672727423861,11536
1.8608592495815657,11664
1.881377514477138,11792
1.9019292642816754,11920
1.9224475291772478,12048
1.942776769520478,12176
1.959963291678183,12304
1.9802925320214133,12432
1.9974790541791183,12560
2.0178082945223483,12688
2.034994816680053,12816
2.055324057023283,12944
2.072510579180988,13072
2.0896971013386927,13200
2.1068836234963975,13328
2.1240701456541022,13456
2.1443993859973323,13584
2.161585908155037,13712
2.178772430312742,13840
2.1959589524704466,13968
2.2131454746281514,14096
2.2334747149713814,14224
2.250661237129086,14352
2.267847759286791,14480
2.288176999630021,14608
2.3053635217877257,14736
2.3256927621309558,14864
2.3428792842886605,14992
2.3600658064463653,15120
2.37725232860407,15248
2.394438850761775,15376
2.4116253729194796,15504
2.4288118950771844,15632
2.445998417234889,15760
2.4663276575781192,15888
2.4866568979213493,16016
2.503843420079054,16144
2.521029942236759,16272
2.5382164643944636,16400
2.5554029865521684,16528
2.572589508709873,16656
2.592918749053103,16784
2.613247989396333,16912
2.630434511554038,17040
2.6476210337117427,17168
2.6648075558694475,17296
2.6819940780271523,17424
2.699180600184857,17552
2.716367122342562,17680
2.7335536445002666,17808
2.7507401666579714,17936
2.767926688815676,18064
2.785113210973381,18192
2.8022997331310857,18320
2.8194862552887905,18448
2.8398154956320205,18576
2.8601447359752505,18704
2.8804739763184806,18832
2.901025726123018,18960
2.9215735023122544,19088
2.942091767207827,19216
2.9626100321033997,19344
2.983161781907937,19472
3.0036800468035096,19600
3.024231796608047,19728
3.0447835464125843,19856
3.065331322601821,19984
3.0858495874973935,20112
3.106367852392966,20240
3.1268861172885387,20368
3.1474338934777752,20496
3.16462041563548,20624
3.1851386805310526,20752
3.2056569454266253,20880
3.2262086952311626,21008
3.2467269601267352,21136
3.268584094716594,21264
3.2891023596121665,21392
3.31118081183956,21520
3.3316990767351324,21648
3.3520283170783625,21776
3.3719095772828998,21904
3.393324861510293,22032
3.4132061217148304,22160
3.433053415943736,22288
3.4527018710780775,22416
3.4691689550745126,22544
3.488817410208854,22672
3.5084658653431955,22800
3.5249329493396306,22928
3.544581404473972,23056
3.5642298596083135,23184
3.583878314742655,23312
3.60034539873909,23440
3.6199938538734315,23568
3.639642309007773,23696
3.6592907641421144,23824
3.6757578481385496,23952
3.696276113034122,24080
3.716605353377352,24208
3.733791875535057,24336
3.754121115878287,24464
3.7739684101071926,24592
3.7942976504504227,24720
3.8114841726081274,24848
3.828670694765832,24976
3.845857216923537,25104
3.866186457266767,25232
3.886515697609997,25360
3.903702219767702,25488
3.9208887419254066,25616
3.9380752640831114,25744
3.958593528978684,25872
3.978922769321914,26000
3.996109291479619,26128
4.016438531822849,26256
4.036990281627387,26384
4.057319521970617,26512
4.077837786866189,26640
4.098167027209419,26768
4.115353549367124,26896
4.135682789710354,27024
4.156234539514892,27152
4.173421061672597,27280
4.193750302015827,27408
4.210936824173532,27536
4.2281233463312375,27664
4.245309868488943,27792
4.262496390646648,27920
4.279682912804353,28048
4.296869434962058,28176
4.314055957119764,28304
4.331242479277469,28432
4.348429001435174,28560
4.365615523592879,28688
4.3828020457505845,28816
4.39998856790829,28944
