Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,throughput,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
6,0.7242899726101389,0.03621449863050695,0.32246951915578637,0.01612347595778932,0.32246951915578637,0.01612347595778932,0.39932353570365253,0.002496917750699667,0.7217930548594389,0.03608965274297195,0.014292380950231916,0.01179546319953225,0.001179546319953225,0.03549987958299535,,0.0007389722305456009,30,10,20,0.5,0
47,0.6127598166794183,0.030637990833970914,0.32174262421239797,0.016087131210619898,0.32174262421239797,0.016087131210619898,0.2851264924686151,0.005890699998404761,0.6068691166810131,0.030343455834050653,0.016959268254548673,0.011068568256143912,0.0011068568256143913,0.02979002742124348,,0.0016021698998280182,30,10,20,0.5,0
50,0.5994252012112359,0.029971260060561795,0.3216898480284934,0.01608449240142467,0.3216898480284934,0.01608449240142467,0.27411070039637586,0.003624652786366256,0.5958005484248692,0.02979002742124346,0.014640444858605522,0.011015792072239267,0.0011015792072239267,0.02923923781763152,,0.004251823102243479,30,10,20,0.5,0
62,0.5624452112074181,0.028122260560370906,0.32151097453308625,0.01607554872665431,0.32151097453308625,0.01607554872665431,0.23026436079508344,0.010669875879247892,0.5517753353281697,0.027588766766408486,0.02150679445608006,0.010836918576832166,0.0010836918576832167,0.0270469208375669,,0.0013059769438238944,30,10,20,0.5,0
63,0.5536236601110333,0.02768118300555166,0.32151097453308625,0.01607554872665431,0.32151097453308625,0.01607554872665431,0.23026436079508344,0.0018483247828631477,0.5517753353281697,0.027588766766408486,0.012685243359695314,0.010836918576832166,0.0010836918576832167,0.0270469208375669,,0.008821551096384744,30,10,20,0.5,0
112,0.40728085438773615,0.020364042719386806,0.3238903880045043,0.016194519400225215,0.3238903880045043,0.016194519400225215,0.07615197936482332,0.0072384870184080685,0.40004236736932763,0.02000211836846638,0.018254279090647307,0.011015792072239239,0.0011015792072239239,0.01945132876485444,,0.0029249900654331196,30,10,20,0.5,0
13,1.0635054380658495,0.02658763595164624,0.6527609628694196,0.01631902407173549,0.6527609628694196,0.01631902407173549,0.4083271667563172,0.002417308440112245,1.0610881296257368,0.02652720324064342,0.015162535424577551,0.012745226984465306,0.0012745226984465306,0.026208572566031797,,0.0003390622833187723,50,10,40,0.25,0
22,1.0330664312362392,0.02582666078090598,0.6527609628694196,0.01631902407173549,0.6527609628694196,0.01631902407173549,0.3737292291227805,0.006576239244038808,1.0264901919922003,0.025662254799805006,0.019321466228504114,0.012745226984465306,0.0012745226984465306,0.025343624125193375,,0.0008833195879733441,50,10,40,0.25,0
23,1.0319807859696783,0.02579951964924196,0.6527609628694196,0.01631902407173549,0.6527609628694196,0.01631902407173549,0.3737292291227805,0.00549059397747783,1.0264901919922003,0.025662254799805006,0.018235820961943136,0.012745226984465306,0.0012745226984465306,0.025343624125193375,,0.0010856452665609778,50,10,40,0.25,0
28,1.0130021038882515,0.02532505259720629,0.6510843041410982,0.016277107603527456,0.6510843041410982,0.016277107603527456,0.3518237422898044,0.01009405745734851,1.0029080464309026,0.025072701160772565,0.02116262571349241,0.011068568256143899,0.0011068568256143898,0.024795986954368975,,0.004353681522374614,50,10,40,0.25,0
29,1.011411577665937,0.02528528944164842,0.6510843041410982,0.016277107603527456,0.6510843041410982,0.016277107603527456,0.3518237422898044,0.008503531235034015,1.0029080464309026,0.025072701160772565,0.019572099491177913,0.011068568256143899,0.0011068568256143898,0.024795986954368975,,0.001590526222314495,50,10,40,0.25,0
44,0.9705719632282371,0.024264299080705928,0.6510843041410982,0.016277107603527456,0.6510843041410982,0.016277107603527456,0.317943918761889,0.0015437403252496207,0.9690282229029872,0.02422570557257468,0.01261230858139352,0.011068568256143899,0.0011068568256143898,0.02394899136617109,,0.00016087499201965227,50,10,40,0.25,0
45,0.9672807185710219,0.02418201796427555,0.6510843041410982,0.016277107603527456,0.6510843041410982,0.016277107603527456,0.3068753505057451,0.00932106392417828,0.9579596546468433,0.023948991366171082,0.020389632180322192,0.011068568256143912,0.0011068568256143913,0.023672277159767493,,0.0032912446572152393,50,10,40,0.25,0
53,0.9426330565775431,0.02356582641443858,0.6508526544617864,0.01627131636154466,0.6508526544617864,0.01627131636154466,0.28502263985667364,0.006757762259082617,0.9358752943184601,0.0233968823579615,0.017594680835914783,0.010836918576832166,0.0010836918576832167,0.02312595939354071,,0.0019017138286150093,50,10,40,0.25,0
67,0.8865692101895117,0.022164230254737793,0.6510843041410982,0.016277107603527456,0.6510843041410982,0.016277107603527456,0.23010773199923737,0.005377174049175787,0.8811920361403356,0.02202980090350839,0.0164457423053197,0.011068568256143912,0.0011068568256143913,0.021753086697104802,,0.0022183781994678797,50,10,40,0.25,0
68,0.881803781754793,0.022045094543869825,0.6510843041410982,0.016277107603527456,0.6510843041410982,0.016277107603527456,0.23010773199923737,0.0006117456144571487,0.8811920361403356,0.02202980090350839,0.011680313870601061,0.011068568256143912,0.0011068568256143913,0.021753086697104802,,0.004765428434718638,50,10,40,0.25,0
77,0.8586433131732847,0.021466082829332118,0.6510843041410982,0.016277107603527456,0.6510843041410982,0.016277107603527456,0.19695480341471028,0.010604205617475826,0.8480391075558085,0.02120097768889521,0.02167277387361974,0.011068568256143912,0.0011068568256143913,0.02092426348249162,,0.0008483393100146563,50,10,40,0.25,0
80,0.8515317821260264,0.02128829455315066,0.6510843041410982,0.016277107603527456,0.6510843041410982,0.016277107603527456,0.19695480341471028,0.0034926745702175688,0.8480391075558085,0.02120097768889521,0.014561242826361481,0.011068568256143912,0.0011068568256143913,0.02092426348249162,,0.0033241256362207816,50,10,40,0.25,0
88,0.8287443334924354,0.020718608337310884,0.6511724462603431,0.016279311156508578,0.6511724462603431,0.016279311156508578,0.1747295247831776,0.002842362448914393,0.8259019710435207,0.020647549276088018,0.013999072824303183,0.01115671037538879,0.001115671037538879,0.020368631516703307,,0.00187988266802247,50,10,40,0.25,0
94,0.8182527813476446,0.020456319533691113,0.6518111990844866,0.016295279977112165,0.6518111990844866,0.016295279977112165,0.16293406158364537,0.003507520679512266,0.814745260668132,0.0203686315167033,0.015302983879044496,0.01179546319953223,0.001179546319953223,0.020073744936714998,,0.0019843978352555025,50,10,40,0.25,0
109,0.7756093843694811,0.019390234609237028,0.6532848441171092,0.01633212110292773,0.6532848441171092,0.01633212110292773,0.11575036477536738,0.006574175477004285,0.7690352088924766,0.019225880222311913,0.01764274373314817,0.011068568256143885,0.0011068568256143885,0.018949166015908323,,0.001173276208509988,50,10,40,0.25,0
