Time (sec),throughput
0.0,0
0.014226250895830498,6
0.032131781356437156,21
0.0530033788699048,45
0.07254753096595512,78
0.09249377396460408,120
0.11483269423261845,171
0.13529774606732284,231
0.15609389240408583,300
0.17782353188537903,378
0.20644182125896732,465
0.23477712671655987,561
0.25542659531520884,663
0.2743941031287031,769
0.2933957615893098,879
0.31426725283168905,993
0.3361963287451567,1111
0.3563517845473021,1233
0.37705127104335245,1359
0.3977942179227202,1489
0.41885390314729826,1623
0.4400296223059472,1761
0.46140986204428314,1903
0.48494988140563083,2049
0.508623313490788,2199
0.5302889012188258,2353
0.551663072110808,2510
0.5712754337405889,2668
0.5908877953703697,2827
0.6105001570001506,2987
0.6301125186299315,3148
0.6497498338034258,3310
0.6693871489769201,3473
0.6890244641504144,3637
0.7086617793239087,3802
0.7283832291445154,3968
0.748104678965122,4135
0.7678261287857286,4303
0.7875475786063353,4472
0.8091197828087145,4642
0.8306919870110938,4813
0.8522641912134731,4985
0.8738363954158523,5158
0.8964799826893199,5332
0.9191235699627875,5507
0.9417671572362551,5683
0.9644107445097228,5860
0.9852305164718681,6038
1.0060502884340135,6217
1.026870060396159,6397
1.0476898323583044,6578
1.0690438916543548,6760
1.0903979509504051,6943
1.1117520102464555,7127
1.133106069542506,7312
1.154483061755207,7498
1.1758600539679083,7685
1.1972370461806094,7873
1.2186140383933106,8062
1.2403407220178888,8252
1.262067405642467,8443
1.2837940892670452,8635
1.3055207728916234,8828
1.3281487566902723,9022
1.3507767404889213,9217
1.3734047242875702,9413
1.3960327080862192,9610
1.4189268183312218,9808
1.4418209285762245,10007
1.4647150388212271,10207
1.4876091490662298,10408
1.512603973334244,10610
1.5375987976022583,10813
1.5625936218702725,11017
1.5875884461382868,11222
1.6128093999301107,11428
1.6380303537219347,11635
1.6632513075137587,11843
1.6884722613055827,12052
1.711641300340287,12262
1.7348103393749914,12473
1.7579793784096958,12685
1.7811484174444001,12898
1.804661223945771,13112
1.828174030447142,13327
1.851686836948513,13543
1.875199643449884,13760
1.898729415386647,13978
1.9222591873234098,14197
1.9457889592601727,14417
1.9693187311969356,14638
1.9932096725983393,14860
2.0171006139997427,15083
2.0409915554011464,15307
2.06488249680255,15532
2.0887945591685617,15758
2.1127066215345733,15985
2.136618683900585,16213
2.1605307462665966,16442
2.1851025681478897,16672
2.209674390029183,16903
2.240638458050532,17135
2.271602526071881,17368
2.30256659409323,17602
2.3367131424560283,17837
2.370859690818827,18073
2.4050062391816254,18310
2.439152787544424,18548
2.4736624719750386,18787
2.5081721564056534,19027
2.542681840836268,19268
2.577191525266883,19510
2.6088950748633732,19753
2.638153535437645,19997
2.6674119960119165,20242
2.698639749469509,20488
2.729867502927102,20735
2.7610952563846944,20983
2.792323009842287,21232
2.8235669552998797,21482
2.8548109007574722,21733
2.886054846215065,21985
2.9172987916726574,22238
2.94896151318424,22492
2.980624234695823,22747
3.0122869562074057,23003
3.0439496777189885,23260
3.0756305624305713,23518
3.107311447142154,23777
3.138992331853737,24037
3.1706732165653198,24298
