Time (sec),throughput
0.0,0
0.019336362969645006,3
0.03189165930451913,9
0.045149364679901535,18
0.06038447010388482,30
0.07198736963670989,45
0.11840900273221928,63
0.13009318168808406,84
0.14249735212569373,108
0.1620591957259996,135
0.17934453411572468,165
0.20085163138662374,198
0.21752564106469677,234
0.23066799177068215,273
0.25304679776713596,315
0.2712381563469405,360
0.28493692784798075,408
0.2982663153809924,458
0.31002359149533254,508
0.32178086760967267,558
0.3335381437240128,608
0.3481315437834864,661
0.36201113165050886,717
0.3756702371490586,767
0.38955830621038906,826
0.4035485381114751,888
0.4175476084328833,953
0.431600504279108,1021
0.44579261871473297,1092
0.45945172421328273,1142
0.47365538905476173,1216
0.48788291949624074,1293
0.5022841034580661,1373
0.5275704328159542,1456
0.5423290632689346,1542
0.5559881687674844,1592
0.5774903533315826,1681
0.5921010476934079,1773
0.6038583238077481,1823
0.6156155999220883,1873
0.6273728760364284,1923
0.6427956810149711,2018
0.6582184859935137,2113
0.6736412909720564,2208
0.689064095950599,2303
0.7044869009291417,2398
0.7199097059076843,2493
0.7353589066233447,2590
0.7508211088885555,2689
0.7675302902467462,2790
0.7872899060111377,2893
0.8070851441755291,2998
0.8256719951912819,3105
0.8442886958070347,3214
0.8641468066134925,3325
0.8840346966199504,3438
0.9039415104838057,3553
0.9226324830995585,3670
0.9374258795345547,3789
0.9528334513997655,3910
0.9716271957488516,4034
0.9913705533834256,4160
1.0111382694179996,4288
1.032429486965235,4418
1.0478560549320726,4514
1.06328262289891,4610
1.0787091908657476,4706
1.1000253041996497,4838
1.1211657308287901,4972
1.1424215888179305,5108
1.1621716160948552,5246
1.1819467703051132,5386
1.2017371792063274,5528
1.2216096041075415,5672
1.2414846806390532,5818
1.2613751043705648,5966
1.280880229733679,6116
1.300835656234893,6268
1.320563536429467,6422
1.340291416624041,6578
1.352048692738381,6628
1.3716411460452087,6785
1.3916075313767204,6942
1.4111991465306604,7101
1.4260533374316318,7194
1.4409075283326032,7287
1.4557617192335746,7380
1.4703724135954,7472
1.4899640287493399,7630
1.5095556439032798,7788
1.5291472590572197,7946
1.5487388742111596,8104
1.5683304893650996,8262
1.5882968746966113,8419
1.607889328003439,8576
1.6274817813102667,8733
1.6470742346170943,8889
1.667040619948606,9047
1.6883451806425083,9207
1.7094873602316487,9369
1.7292152404262227,9525
1.750725076628602,9689
1.7707363238267804,9854
1.793257632700248,10021
1.8128417788070756,10176
1.8354480604805432,10345
1.8562167284426887,10516
1.877824631845068,10689
1.8990809401011184,10864
1.9203971587571687,11041
1.9399813048639962,11196
1.9613056020366972,11375
1.9826436976093984,11556
2.0040334561054487,11739
2.025719384530027,11924
