Time (sec),throughput
0.0,0
0.01087040550402853,1
0.05075763552478588,28
0.09093834394554323,79
0.13143627476630057,153
0.1721437159870579,249
0.21313395400781526,366
0.2543363776285726,503
0.29584829020932996,659
0.3375581617234206,833
0.37950657190417797,1024
0.4216030051249353,1231
0.46386410394569266,1453
0.50630711636645,1690
0.5488657255872074,1940
0.5915277524079647,2204
0.6343635968287221,2480
0.6772799788494794,2768
0.7203575064702368,3067
0.7635407044909941,3377
0.8068551985117515,3697
0.8502466397325088,4027
0.8937472713532661,4366
0.9373185845740235,4713
0.9809648033947809,5069
1.0246971214155383,5433
1.0685355322362955,5804
1.1124287142570528,6182
1.1563945490778103,6567
1.2004587326985676,6958
1.244577687519325,7355
1.2887143127400824,7758
1.3329477379608399,8167
1.3772234735815971,8581
1.4216172700023544,9000
1.4660338760231117,9424
1.5105019444438692,9852
1.5549848672646265,10284
1.5995226316853839,10720
1.6440815161061413,11160
1.6887369189268986,11604
1.7334158353476559,12051
1.7781919741684133,12502
1.8229902889891707,12956
1.867834856609928,13413
1.9126794242306855,13872
1.9575449710514428,14334
2.0024663450722002,14799
2.0473877190929577,15266
2.092324862713715,15735
2.1372620063344727,16207
2.18225934195523,16681
2.2272818807759873,17157
2.2723044195967446,17634
2.317326958417502,18113
2.362424895638259,18594
2.407522832859016,19076
2.4525427668797737,19560
2.4976587265005312,20045
2.5427746861212888,20532
2.5879473881420463,21020
2.633120090162804,21509
2.6782927921835613,22000
2.723484220604319,22492
2.7706296714250764,22985
2.817775122245834,23479
2.8650082914665913,23974
2.9122414606873486,24470
2.959430201108106,24966
3.006663370328863,25463
3.0538965395496205,25961
3.101159347170378,26460
3.148422154791135,26960
3.1956405336118925,27460
3.24290334123265,27961
3.290121720053407,28462
3.3373845276741645,28964
3.384696052094922,29467
3.4319631477156793,29970
3.479274672136437,30474
3.526541767757194,30978
3.5738088633779515,31482
3.620988662998709,31987
3.668255758619466,32492
3.7155672830402238,32998
3.762858596260981,33504
3.8101499094817384,34010
3.857485651502496,34517
3.9047769647232533,35024
3.9520682779440106,35531
3.9994040199647682,36039
4.046695333185526,36547
4.093986646406283,37055
4.141277959627041,37563
4.188613701647798,38072
4.235905014868555,38581
4.283196328089312,39090
4.33048764131007,39599
4.377778954530827,40108
4.425114696551584,40618
4.472463033772342,41128
4.519754346993099,41637
4.567017154613857,42136
4.614135219834614,42626
4.661109528255371,43106
4.707927971076128,43576
4.754587380296885,44036
4.801159845517643,44489
4.8476433955384,44935
4.894098503959158,45378
4.940414642779915,45814
4.986730781600673,46248
5.03292174922143,46678
5.078993177642187,47102
5.1250364460629445,47521
5.171079714483702,47941
5.21712298290446,48361
5.2631662513252175,48782
5.309209519745975,49204
5.355252788166733,49626
5.401296056587491,50045
5.447339325008248,50464
5.493304449429005,50880
5.5392516922497625,51300
5.58529496067052,51720
5.631338229091278,52140
5.677409657512035,52563
5.723481085932792,52987
5.769552514353549,53410
5.815595782774307,53832
5.861667211195064,54255
5.907738639615821,54679
5.953833581636578,55106
6.000024549257335,55534
6.046245014478092,55965
6.09256115329885,56399
6.1388772921196075,56836
6.185216310940365,57276
6.231671419361122,57718
6.278030502181879,58162
6.324514052202637,58609
6.371061666223394,59058
6.417609280244151,59508
6.464156894264908,59959
6.510633333885666,60412
6.557205799106423,60866
6.603778264327181,61322
6.6504376735479385,61779
6.697097082768696,62238
6.743689963989453,62699
6.790378870810211,63162
6.8371683792309685,63626
6.883957887651726,64093
6.930776330472483,64561
6.97759477329324,65030
7.024317190513997,65500
7.071135633334754,65971
7.118031164155512,66444
7.164926694976269,66918
7.211822225797026,67393
7.258743804617784,67869
7.305665383438542,68347
7.352586962259299,68826
7.399561270680056,69306
7.446535579100813,69788
7.49350988752157,70271
7.540516720742327,70754
7.587523553963084,71239
7.634530387183841,71725
7.681648452404598,72212
7.728766517625355,72700
7.775884582846112,73188
7.823002648066869,73676
7.870120713287626,74166
7.9172661641083835,74657
7.964411614929141,75149
8.011557065749898,75641
8.058702516570655,76134
8.105847967391412,76628
8.153081136612169,77123
8.200314305832926,77619
8.247547475053683,78116
8.29478064427444,78614
8.341999023095196,79112
8.389232192315953,79610
8.436494999936711,80109
8.485734357957469,80609
8.534929287178226,81109
8.584168645198984,81610
8.633363574419741,82111
8.6826029324405,82613
8.731933388061256,83116
8.781219414882013,83619
8.83054987050277,84123
8.879835897323527,84627
8.929121924144285,85131
8.978320654965042,85636
9.0276066817858,86141
9.076937137406556,86647
9.126267797827314,87153
9.175598458248071,87659
9.224973547468828,88166
9.274173692689585,88664
9.323266055510343,89151
9.372095826331101,89629
9.42087871075186,90103
9.469562823972616,90571
9.518093465193374,91031
9.566543357614131,91485
9.614820418034888,91932
9.663038412855645,92376
9.711069918076403,92812
9.75910142329716,93248
9.807041197317918,93681
9.854980971338676,94114
9.902784662159434,94538
9.94882793058019,94958
9.994772075800947,95372
10.040635965021705,95783
10.086499854242463,96191
10.13244399946322,96603
10.178388144683977,97014
10.224332289904734,97426
10.270196179125492,97834
10.31606006834625,98241
10.361895797567007,98648
10.407731526787764,99055
10.453595416008522,99462
10.49945930522928,99871
10.545403450450037,100283
10.591368574870794,100698
10.63733369929155,101114
10.683298823712308,101529
10.729263948133065,101945
10.775133046953822,102362
10.82109817137458,102779
10.867141439795336,103198
10.913184708216093,103616
10.95905380703685,104033
11.005001049857608,104454
11.051044318278365,104875
11.097115746699123,105299
11.14330671431988,105726
11.189497681940638,106153
11.235688649561396,106582
11.281909114782154,107015
11.32822525360291,107450
11.374541392423668,107886
11.420880411244426,108324
11.467219430065184,108764
11.51367453848594,109206
11.560129646906697,109650
11.606584755327454,110093
11.65297227974821,110540
11.699455829768969,110987
11.745939379789727,111436
11.792486993810485,111887
11.839034607831243,112338
11.885607073052,112791
11.932179538272758,113246
11.978752003493515,113702
12.025324468714272,114158
12.071983877935029,114614
12.118547261555786,115071
12.165206670776543,115529
12.2118955775973,115990
12.258584484418057,116453
12.305273391238813,116916
12.35206289965957,117381
12.398852408080327,117846
12.445641916501083,118313
12.492460359321841,118782
12.539278802142599,119253
12.586097244963357,119724
12.632896750184115,120197
12.679792281004872,120672
12.72671385982563,121148
12.773635438646387,121624
12.820557017467145,122101
12.867478596287903,122578
12.91440017510866,123056
12.961321753929418,123534
